fy,code,prabhag,prabhag_sub,ward_col,amount_rs,provision_rs,work_name
2017-18,CE20E101/SF1-139,15,अ,,1000000.0,1000000.0,"प्रभाग क्र.15अ, मध्ये शनिवार पेठ परिसरात व प्रभागात इतरत्र पावसाळी लाईन देखभाल दुरूस्ती विषयक कामे करणे व नव्याने लाईन टाकणे"
2017-18,CE20E101/SF1-140,15,अ,,1000000.0,1000000.0,"प्रभाग क्र.15अ, मध्ये शुक्रवार पेठ परिसरात व प्रभागात इतरत्र पावसाळी लाईन देखभाल दुरूस्ती विषयक कामे करणे व नव्याने लाईन टाकणे"
2017-18,CE20E101/SF1-141,15,अ,,1000000.0,1000000.0,"प्रभाग क्र.15अ, मध्ये बुधवार पेठ परिसरात व प्रभागात इतरत्र पावसाळी लाईन देखभाल दुरूस्ती विषयक कामे करणे व नव्याने लाईन टाकणे"
2017-18,CE20E101/SF1-142,15,अ,,1000000.0,1000000.0,"प्रभाग क्र.15अ, मध्ये सुभाषनगर पेठ परिसरात व प्रभागात इतरत्र पावसाळी लाईन देखभाल दुरूस्ती विषयक कामे करणे व नव्याने लाईन टाकणे"
2017-18,CE20E101/SF1-143,15,ब,,1000000.0,1000000.0,"प्रभाग क्र.15ब, मध्ये नारायण पेठ परिसरात व प्रभागात इतरत्र पावसाळी लाईन देखभाल दुरूस्ती विषयक कामे करणे व नव्याने लाईन टाकणे."
2017-18,CE20E101/SF1-144,15,ब,,1000000.0,1000000.0,"प्रभाग क्र.15ब, मध्ये सदाशिव पेठ परिसरात व प्रभागात इतरत्र पावसाळी लाईन देखभाल दुरूस्ती विषयक कामे करणे व नव्याने लाईन टाकणे."
2017-18,CE20E101/SF1-145,15,ब,,1000000.0,1000000.0,"प्रभाग क्र.15ब, मध्ये शनिवार पेठ परिसरात व प्रभागात इतरत्र पावसाळी लाईन देखभाल दुरूस्ती विषयक कामे करणे व नव्याने लाईन टाकणे."
2017-18,CE20E101/SF1-146,15,ब,,1000000.0,1000000.0,"प्रभाग क्र.15ब, मध्ये शुक्रवार पेठ परिसरात व प्रभागात इतरत्र पावसाळी लाईन देखभाल दुरूस्ती विषयक कामे करणे व नव्याने लाईन टाकणे."
2017-18,CE20E101/SF1-147,15,ब,,1000000.0,1000000.0,"प्रभाग क्र.15ब, मध्ये बुधवार पेठ परिसरात व प्रभागात इतरत्र पावसाळी लाईन देखभाल दुरूस्ती विषयक कामे करणे व नव्याने लाईन टाकणे."
2017-18,CE20E101/SF1-148,15,ब,,1000000.0,1000000.0,"प्रभाग क्र.15ब, मध्ये सुभाषनगर परिसरात व प्रभागात इतरत्र पावसाळी लाईन देखभाल दुरूस्ती विषयक कामे करणे व नव्याने लाईन टाकणे."
2017-18,CE20E101/SF1-149,16,क,,500000.0,500000.0,"प्रभाग क्र.16क, पारगे चौक ते हॉटेल पद्मकृष्णा पावसाळी गटार टाकणे"
2017-18,CE20E101/SF1-150,16,ड,,1000000.0,1000000.0,"प्रभाग क्र.16ड, मध्ये ड्रेनेज चेंबर व पावसाळी लाईन दुरूस्ती करणे."
2017-18,CE20E101/SF1-151,17,अ,,1000000.0,1000000.0,"प्रभाग क्र.17 अ, मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे."
2017-18,CE20E101/SF1-152,17,क,,1000000.0,1000000.0,"प्रभाग क्र.17 क, मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-153,17,ड,,500000.0,500000.0,"प्रभाग क्र.17 ड, मधील विविध ठिकाणी रस्त्यामधील खाली गेलेली पावसाळी गटाराचे चेंबर समपातळीवर उचलणे"
2017-18,CE20E101/SF1-154,18,अ,,2000000.0,2000000.0,"प्रभाग क्र.18अ, मध्ये जैन मंदिर ते रामोशी गेट पावसाळी लाईन टाकणे."
2017-18,CE20E101/SF1-155,18,अ,,2000000.0,2000000.0,"प्रभाग क्र.18अ, मध्ये कृष्णाहट्टी चौक ते फुलवाला चौक पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-156,18,ब,,1000000.0,1000000.0,"प्रभाग क्र.18ब, जैन मंदिर ते रामोशी गेट पर्यंत पावसाळी लाईन दुरूस्त करणे किंवा नवीन टाकणे"
2017-18,CE20E101/SF1-157,18,क,,1000000.0,1000000.0,"प्रभाग क्र.18क, घोरपडे पेठ परिसरात विविध ठिकाणी पावसाळी लाईन टाकणे व तद्‌नुषंगिक कामे करणे."
