zone_no,zone_name,zone_code,fiscal_year,measure,amount_rs_thousand,amount_rs_lakh,line_present_in_book,source_book,source_page,source_url
X,Kodambakkam,NK,2014-2015,RE,90000,900.00,yes,bb2015-16.pdf,56,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
XI,Valasaravakkam,NL,2014-2015,RE,40000,400.00,yes,bb2015-16.pdf,57,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
XII,Alandur,NM,2014-2015,RE,140000,1400.00,yes,bb2015-16.pdf,58,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
XIII,Adyar,NN,2014-2015,RE,25000,250.00,yes,bb2015-16.pdf,59,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
XIV,Perungudi,NP,2014-2015,RE,130000,1300.00,yes,bb2015-16.pdf,60,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
XV,Sholinganallur,NQ,2014-2015,RE,30000,300.00,yes,bb2015-16.pdf,61,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
I,Thiruvottiyur,NA,2015-2016,BE,20000,200.00,yes,bb2015-16.pdf,47,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
II,Manali,NB,2015-2016,BE,20000,200.00,yes,bb2015-16.pdf,48,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
III,Madhavaram,NC,2015-2016,BE,20000,200.00,yes,bb2015-16.pdf,49,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
IV,Tondiarpet,ND,2015-2016,BE,20000,200.00,yes,bb2015-16.pdf,50,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
V,Royapuram,NE,2015-2016,BE,20000,200.00,yes,bb2015-16.pdf,51,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
VI,Thiru-Vi-Ka Nagar,NF,2015-2016,BE,20000,200.00,yes,bb2015-16.pdf,52,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
VII,Ambattur,NG,2015-2016,BE,20000,200.00,yes,bb2015-16.pdf,53,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
VIII,Anna Nagar,NH,2015-2016,BE,20000,200.00,yes,bb2015-16.pdf,54,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
IX,Teynampet,NJ,2015-2016,BE,20000,200.00,yes,bb2015-16.pdf,55,https://chennaicorporation.gov.in/budget/Budget_2015-16/CONTENT2015-16.pdf
